"results__name","results__domain","results__fullDomain","results__logo","results__links__pricing","results__links__privacyPolicy","results__links__tos","results__links__security","results__links__gdpr","pagination__pageCount","pagination__rangeStart","pagination__rangeEnd","pagination__page","pagination__totalItems","pagination__itemsPerPage","total"
"Cloudmailin","cloudmailin.com","https://cloudmailin.com","https://logo.clearbit.com/cloudmailin.com?size=36","http://www.cloudmailin.com/plans","http://www.cloudmailin.com/privacy","http://www.cloudmailin.com/terms","http://api.cloudmailin.com/wireshark/wireshark-network-security-by-piyush-verma.pdf","http://api.cloudmailin.com/facebook/facebook-for-dummies-by-carolyn-abram.pdf","","","","","","",""
"Powernet","powernetco.com","https://powernetco.com","https://logo.clearbit.com/powernetco.com?size=36","http://powernetco.com/event/webinar-selling-hosted-with-bundled-pricing","http://powernetco.com/theme/pngcorp/legal/Powernet_Internet_Privacy_Policy.pdf","http://powernetco.com/theme/pngcorp/legal/Powernet_Terms_of_Use_for_Web_Site.pdf","http://powernetco.com/tags/security","","","","","","","",""
"SonicWall","sonicwall.com","https://sonicwall.com","https://logo.clearbit.com/sonicwall.com?size=36","","https://www.sonicwall.com/en-us/privacy","https://www.sonicwall.com/en-us/legal","https://www.sonicwall.com/en-us/products/secure-email/email-security-appliance","https://blog.sonicwall.com/2017/07/is-your-email-security-gdpr-ready/","","","","","","",""
"Reserve Media","reserve.com","https://reserve.com","https://logo.clearbit.com/reserve.com?size=36","","https://reserve.com/legal/privacy","https://reserve.com/legal/terms","","","","","","","","",""
"Switch","switch.com","https://switch.com","https://logo.clearbit.com/switch.com?size=36","https://investors.switch.com/stock-information","https://www.switch.com/wireless/","https://www.switch.com/wireless/","https://www.switch.com/switch-safe/","","","","","","","",""
"Sequr","sequr.io","https://sequr.io","https://logo.clearbit.com/sequr.io?size=36","","https://sequr.io/privacy-policy","https://sequr.io/privacy-policy","","","","","","","","",""
"Virtru","virtru.com","https://virtru.com","https://logo.clearbit.com/virtru.com?size=36","","https://www.virtru.com/terms-of-service/","https://www.virtru.com/terms-of-service/","https://www.virtru.com/blog/enterprise-data-security/","https://www.virtru.com/gdpr-compliance/","","","","","","",""
"Mentimeter","mentimeter.com","https://mentimeter.com","https://logo.clearbit.com/mentimeter.com?size=36","https://www.mentimeter.com/plans","https://www.mentimeter.com/privacy","https://www.mentimeter.com/terms","","","","","","","","",""
"The Noun Project","thenounproject.com","https://thenounproject.com","https://logo.clearbit.com/thenounproject.com?size=36","https://thenounproject.com/accounts/pricing/","https://thenounproject.com/legal/#!privacy-policy","https://thenounproject.com/legal/#!terms-of-use","https://thenounproject.com/term/security/","https://thenounproject.com/term/gdpr/","","","","","","",""
"RockYou","rockyou.com","https://rockyou.com","https://logo.clearbit.com/rockyou.com?size=36","","http://rockyou.com/privacy-policy/","http://rockyou.com/terms-of-service/","","","","","","","","",""
"Fog Creek Software","fogcreek.com","https://fogcreek.com","https://logo.clearbit.com/fogcreek.com?size=36","https://www.manuscript.com/pricing","http://www.fogcreek.com/privacy","https://shop.fogcreek.com/hostedtos.asp","http://www.fogcreek.com/security","","","","","","","",""
"Appnexus","appnexus.com","https://appnexus.com","https://logo.clearbit.com/appnexus.com?size=36","","https://www.appnexus.com/en/company/privacy-policy","https://www.appnexus.com/en/company/terms-of-use","","https://www.appnexus.com/en/company/news-and-events/press-releases/news-2017-0503a","","","","","","",""
"Everwise","geteverwise.com","https://geteverwise.com","https://logo.clearbit.com/geteverwise.com?size=36","","https://www.geteverwise.com/privacy-policy/","https://www.geteverwise.com/terms-of-use/","","","","","","","","",""
"Automatic Labs","automatic.com","https://automatic.com","https://logo.clearbit.com/automatic.com?size=36","","https://www.automatic.com/legal/#privacy","https://www.automatic.com/legal/#terms","https://blog.automatic.com/security-at-automatic-how-we-keep-you-safe-bdaf3f74e00f","","","","","","","",""
"Talkdesk","talkdesk.com","https://talkdesk.com","https://logo.clearbit.com/talkdesk.com?size=36","https://www.talkdesk.com/pricing/","https://www.talkdesk.com/privacy-policy/","https://www.talkdesk.com/terms-of-service/","https://www.talkdesk.com/trust/","https://www.talkdesk.com/blog/talkdesk-what-is-GDPR?p=15460/","","","","","","",""
"LiveIntent","liveintent.com","https://liveintent.com","https://logo.clearbit.com/liveintent.com?size=36","","https://liveintent.com/services-privacy-policy/","","https://support.liveintent.com/hc/en-us/articles/209645503-Questions-about-Privacy-Data-Security?mobile_site=true","","","","","","","",""
"PaySimple","paysimple.com","https://paysimple.com","https://logo.clearbit.com/paysimple.com?size=36","https://paysimple.com/pricing.html","https://paysimple.com/privacy.html","https://paysimple.com/legal.html","https://paysimple.com/security.html","","","","","","","",""
"Bannerman","bannerman.com","https://bannerman.com","https://logo.clearbit.com/bannerman.com?size=36","","https://www.bannerman.com/privacy","https://www.bannerman.com/terms-of-use","https://www.bannerman.com/office-security","","","","","","","",""
